Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
0.000;1.0210;-0.0154;0.2070;-4.2824;0.9695;-0.8626;30.6947;
0.021;1.0200;-0.0178;0.1920;-4.1908;0.8550;-0.5802;30.7888;
0.042;1.0190;-0.0190;0.2028;-4.1832;0.9313;-0.8626;30.6947;
0.063;1.0208;-0.0205;0.2009;-4.0153;0.8855;-0.8702;30.6947;
0.084;1.0195;-0.0264;0.1967;-4.1527;0.8550;-0.7557;30.6006;
0.104;1.0203;-0.0259;0.2020;-4.1221;0.9542;-0.8321;30.7888;
0.126;1.0212;-0.0212;0.1925;-4.0229;0.9237;-0.8397;30.6947;
0.146;1.0195;-0.0208;0.2084;-4.1298;1.1069;-1.0153;30.6947;
0.168;1.0227;-0.0249;0.1986;-4.3435;0.8855;-0.8473;30.6947;
0.188;1.0154;-0.0269;0.2031;-4.1374;1.0840;-0.6870;30.6006;
0.209;1.0171;-0.0203;0.2009;-4.2977;1.1221;-0.9237;30.7888;
0.231;1.0154;-0.0205;0.1942;-4.2443;1.0000;-0.9466;30.7888;
0.251;1.0154;-0.0203;0.2061;-4.1527;1.1145;-0.8015;30.7888;
0.272;1.0229;-0.0210;0.2006;-4.1756;0.8931;-0.7863;30.6947;
0.293;1.0188;-0.0244;0.1925;-4.1679;0.9695;-1.1145;30.6947;
0.314;1.0190;-0.0198;0.1925;-4.0763;0.9618;-0.8702;30.6006;
0.335;1.0161;-0.0249;0.1981;-4.1145;0.9847;-0.7099;30.7888;
0.356;1.0212;-0.0227;0.2034;-4.0763;0.8473;-0.8779;30.6947;
0.377;1.0139;-0.0234;0.2014;-4.1221;1.0000;-0.8779;30.6006;
0.398;1.0232;-0.0266;0.1956;-4.1298;1.0305;-0.7710;30.7888;
0.419;1.0198;-0.0259;0.2017;-4.2519;0.9695;-0.9313;30.6947;
0.440;1.0244;-0.0256;0.1964;-4.2443;1.0305;-0.9008;30.6947;
0.461;1.0198;-0.0183;0.1998;-4.2595;0.9466;-0.8321;30.6947;
0.482;1.0168;-0.0171;0.2145;-4.0305;1.1145;-0.8855;30.6947;
0.503;1.0200;-0.0183;0.1967;-4.1450;1.0763;-0.7557;30.7888;
0.524;1.0183;-0.0186;0.2053;-4.1527;1.1069;-0.9008;30.6947;
0.545;1.0217;-0.0220;0.1917;-3.9847;1.0687;-0.9008;30.7888;
0.566;1.0127;-0.0232;0.1925;-4.0840;1.0153;-0.7710;30.7888;
