Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
0.000;1.0093;-0.0081;0.2747;-4.0534;1.0229;-0.6947;30.0359;
0.022;1.0063;0.0012;0.2758;-4.2061;0.9084;-0.9008;30.0359;
0.043;1.0073;-0.0022;0.2813;-4.3740;0.9771;-0.8015;30.0359;
0.064;1.0183;-0.0063;0.2772;-4.2443;1.0305;-0.8550;30.0359;
0.085;1.0117;-0.0044;0.2783;-4.1450;0.9542;-0.9389;29.9418;
0.105;1.0139;0.0022;0.2672;-4.3053;0.9237;-1.0153;30.0359;
0.127;1.0088;-0.0061;0.2866;-4.3435;0.9313;-0.8397;30.1300;
0.148;1.0110;-0.0044;0.2769;-4.2977;0.8473;-0.8473;30.0359;
0.169;1.0144;-0.0039;0.2777;-4.1603;1.0763;-0.9008;29.9418;
0.190;1.0090;-0.0034;0.2774;-4.1603;1.0458;-0.9084;30.0359;
0.211;1.0085;-0.0078;0.2697;-4.1985;1.1221;-0.9847;30.1300;
0.232;1.0137;-0.0029;0.2747;-4.0458;0.9237;-0.7557;30.0359;
0.253;1.0117;-0.0032;0.2749;-4.2137;0.9924;-0.7099;30.1300;
0.274;1.0122;-0.0044;0.2824;-4.1145;0.9771;-1.0153;30.0359;
0.296;1.0071;-0.0007;0.2821;-4.0611;0.9237;-0.9542;30.0359;
0.316;1.0144;-0.0027;0.2760;-4.0840;1.0840;-0.8702;29.9418;
0.337;1.0095;-0.0085;0.2716;-4.1603;0.8626;-0.8015;30.0359;
0.358;1.0110;-0.0046;0.2711;-4.1069;1.0611;-0.8397;30.0359;
0.379;1.0125;-0.0039;0.2774;-4.1832;0.8473;-0.9618;30.1300;
0.400;1.0081;-0.0076;0.2722;-4.1679;0.8015;-0.7939;30.0359;
0.421;1.0098;-0.0024;0.2744;-4.1221;1.0763;-0.6870;30.0359;
0.442;1.0078;-0.0012;0.2716;-4.2214;0.9160;-0.9847;30.0359;
0.463;1.0117;-0.0015;0.2733;-4.2366;1.1832;-0.9084;30.0359;
0.484;1.0139;-0.0002;0.2716;-4.1679;1.0153;-0.7176;30.0359;
0.505;1.0095;-0.0061;0.2727;-4.2977;1.0534;-0.8550;29.9418;
0.526;1.0068;-0.0034;0.2716;-4.2366;0.9237;-0.8244;30.0359;
0.547;1.0120;-0.0076;0.2691;-4.1450;0.9466;-0.8397;29.9418;
0.568;1.0110;-0.0044;0.2858;-4.0611;1.0840;-0.9542;29.9418;
0.589;1.0146;-0.0059;0.2733;-4.1527;1.0763;-0.8244;29.9418;
0.611;1.0085;-0.0090;0.2783;-4.0992;1.0229;-1.0229;29.9418;
0.632;1.0166;-0.0039;0.2813;-4.1908;1.0382;-0.8626;30.0359;
0.653;1.0076;-0.0005;0.2713;-4.1756;0.9695;-0.9084;30.0359;
0.674;1.0073;-0.0042;0.2719;-4.1756;0.8550;-0.8626;30.0359;
0.695;1.0093;-0.0034;0.2794;-4.2901;0.9924;-0.8397;30.0359;
0.715;1.0088;-0.0046;0.2788;-4.3130;0.9695;-0.7176;29.9418;
0.737;1.0063;-0.0017;0.2797;-4.1145;0.9008;-1.0840;30.0359;
0.757;1.0093;-0.0068;0.2766;-4.1221;1.1603;-1.0763;30.0359;
0.779;1.0117;-0.0032;0.2722;-4.0763;0.9237;-0.7786;30.0359;
0.800;1.0071;-0.0020;0.2799;-4.0763;1.1374;-0.8397;30.0359;
0.821;1.0132;-0.0029;0.2730;-4.0611;0.8855;-0.7786;30.0359;
0.842;1.0164;-0.0017;0.2802;-4.2061;1.1221;-0.8397;30.0359;
0.863;1.0168;-0.0073;0.2844;-4.0992;0.9924;-0.9466;30.0359;
0.884;1.0073;-0.0081;0.2794;-4.2901;0.9695;-0.8550;30.0359;
0.905;1.0127;-0.0059;0.2774;-4.2595;1.1603;-1.0229;29.9418;
0.926;1.0181;-0.0051;0.2794;-4.0992;1.0305;-0.8015;30.0359;
0.947;1.0071;-0.0083;0.2677;-4.0229;0.9924;-0.9084;29.9418;
0.967;1.0168;-0.0068;0.2783;-4.3817;1.2214;-0.8626;30.0359;
0.989;1.0093;-0.0049;0.2802;-4.1985;1.0687;-0.9313;29.9418;
1.010;1.0081;-0.0007;0.2752;-4.1145;1.0153;-0.8015;29.9418;
1.031;1.0149;-0.0056;0.2727;-4.2366;1.0076;-0.8473;30.0359;
1.052;1.0129;-0.0090;0.2774;-4.1069;0.9542;-0.8015;29.9418;
1.073;1.0120;-0.0002;0.2649;-4.1527;1.0076;-0.7328;29.9418;
1.094;1.0103;-0.0034;0.2755;-4.1450;0.9389;-1.0153;30.1300;
1.114;1.0085;-0.0029;0.2799;-4.2748;1.0763;-0.8473;30.0359;
1.135;1.0103;-0.0051;0.2699;-4.1298;1.0305;-0.9160;30.0359;
1.156;1.0149;-0.0046;0.2694;-4.1679;0.9389;-0.7710;30.0359;
1.178;1.0081;-0.0103;0.2819;-4.1679;1.0458;-0.9389;29.9418;
1.198;1.0178;-0.0027;0.2819;-4.4122;1.0000;-0.8550;29.9418;
1.219;1.0112;-0.0044;0.2821;-4.1832;1.0229;-0.8244;29.9418;
1.240;1.0122;-0.0042;0.2783;-4.0992;0.9847;-0.7328;29.9418;
1.262;1.0078;-0.0034;0.2785;-4.0840;1.0534;-1.0458;30.0359;
1.283;1.0129;-0.0090;0.2821;-4.0229;0.8931;-0.9924;29.9418;
1.304;1.0093;-0.0061;0.2816;-4.1069;1.0611;-0.7099;30.0359;
1.326;1.0112;-0.0066;0.2763;-3.9847;0.7634;-0.7710;29.9418;
1.348;1.0107;-0.0085;0.2794;-4.2214;1.0611;-0.9618;29.9418;
1.369;1.0110;-0.0012;0.2821;-4.2672;0.9313;-0.8702;29.9418;
1.390;1.0083;-0.0017;0.2677;-4.1145;0.9771;-0.8397;30.1300;
1.411;1.0146;-0.0024;0.2747;-4.0992;1.1832;-0.7863;30.0359;
1.432;1.0085;-0.0107;0.2719;-3.9924;0.9695;-0.9084;30.0359;
1.453;1.0159;-0.0054;0.2722;-4.2214;0.9389;-0.7863;30.0359;
1.474;1.0110;-0.0056;0.2816;-4.1908;1.1221;-0.7786;30.0359;
1.495;1.0046;-0.0071;0.2719;-4.3130;0.9618;-1.0076;30.0359;
1.516;1.0176;-0.0024;0.2735;-4.2595;0.7634;-0.9313;30.0359;
1.537;1.0164;-0.0051;0.2874;-4.2214;0.9847;-0.9771;30.1300;
1.557;1.0115;-0.0039;0.2733;-4.0305;0.9771;-0.8550;30.0359;
1.579;1.0063;-0.0034;0.2752;-4.2748;0.9466;-0.7939;30.0359;
1.599;1.0168;-0.0020;0.2697;-4.0763;1.0382;-0.9771;30.0359;
1.621;1.0105;-0.0042;0.2769;-4.3740;1.0992;-0.7634;30.0359;
1.643;1.0076;-0.0024;0.2830;-4.0229;1.0611;-0.8473;29.8476;
1.664;1.0103;-0.0073;0.2810;-4.3206;1.0000;-0.9542;30.0359;
1.685;1.0125;-0.0071;0.2747;-3.9695;0.9389;-1.0763;30.0359;
